reference_genome_assembly	library_strategy	library_layout	library_source	platform	type	genomic_info_id	file.file_id	instrument_model	library_selection
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a363b2-37b7-11ee-ba20-9f7b0bdc08fc	dg.4DFC/94a363b2-37b7-11ee-ba20-9f7b0bdc08fc	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a44700-37b7-11ee-ae38-b788867fb23a	dg.4DFC/94a44700-37b7-11ee-ae38-b788867fb23a	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a46b18-37b7-11ee-b5ab-bf6799fd60e1	dg.4DFC/94a46b18-37b7-11ee-b5ab-bf6799fd60e1	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a48d8c-37b7-11ee-9087-979499a044a9	dg.4DFC/94a48d8c-37b7-11ee-9087-979499a044a9	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a4b032-37b7-11ee-a7e3-bf8c57ca2b85	dg.4DFC/94a4b032-37b7-11ee-a7e3-bf8c57ca2b85	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a4d788-37b7-11ee-9405-3ff9904be5d5	dg.4DFC/94a4d788-37b7-11ee-9405-3ff9904be5d5	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a4fc0e-37b7-11ee-9807-57c50d396644	dg.4DFC/94a4fc0e-37b7-11ee-9807-57c50d396644	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a5238c-37b7-11ee-b6ba-8bbd030b3f32	dg.4DFC/94a5238c-37b7-11ee-b6ba-8bbd030b3f32	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a545ec-37b7-11ee-8659-e72915313973	dg.4DFC/94a545ec-37b7-11ee-8659-e72915313973	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a56b58-37b7-11ee-b6ec-cb2fa46f3a95	dg.4DFC/94a56b58-37b7-11ee-b6ec-cb2fa46f3a95	Not specified in data	Not specified in data
