reference_genome_assembly	library_strategy	library_layout	library_source	platform	type	genomic_info_id	file.file_id	instrument_model	library_selection
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a58dfe-37b7-11ee-a537-4312d37ccd62	dg.4DFC/94a58dfe-37b7-11ee-a537-4312d37ccd62	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a5b16c-37b7-11ee-ab93-3b86be54ded9	dg.4DFC/94a5b16c-37b7-11ee-ab93-3b86be54ded9	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a5d3c2-37b7-11ee-bd3c-033480576a7a	dg.4DFC/94a5d3c2-37b7-11ee-bd3c-033480576a7a	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a5f64a-37b7-11ee-912c-8735cb733a14	dg.4DFC/94a5f64a-37b7-11ee-912c-8735cb733a14	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a6190e-37b7-11ee-b385-2793a6642f9a	dg.4DFC/94a6190e-37b7-11ee-b385-2793a6642f9a	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a63c22-37b7-11ee-8bbf-9f4d5ee5ff9c	dg.4DFC/94a63c22-37b7-11ee-8bbf-9f4d5ee5ff9c	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a664f4-37b7-11ee-84f4-abbb931cce77	dg.4DFC/94a664f4-37b7-11ee-84f4-abbb931cce77	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a686fa-37b7-11ee-80a6-1fd322eb45c0	dg.4DFC/94a686fa-37b7-11ee-80a6-1fd322eb45c0	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a6a9be-37b7-11ee-8895-2f5555383c50	dg.4DFC/94a6a9be-37b7-11ee-8895-2f5555383c50	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a6cc14-37b7-11ee-9653-df8144d9423d	dg.4DFC/94a6cc14-37b7-11ee-9653-df8144d9423d	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a6f130-37b7-11ee-a72d-87b783b25ca3	dg.4DFC/94a6f130-37b7-11ee-a72d-87b783b25ca3	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a71322-37b7-11ee-94da-379d60f49adb	dg.4DFC/94a71322-37b7-11ee-94da-379d60f49adb	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a737bc-37b7-11ee-92e8-3fa52c3eeff7	dg.4DFC/94a737bc-37b7-11ee-92e8-3fa52c3eeff7	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a75a62-37b7-11ee-8e19-ff4db4097e84	dg.4DFC/94a75a62-37b7-11ee-8e19-ff4db4097e84	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a77e7a-37b7-11ee-9e5a-87fd2d4da594	dg.4DFC/94a77e7a-37b7-11ee-9e5a-87fd2d4da594	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a7a0c6-37b7-11ee-a119-df751c129a0c	dg.4DFC/94a7a0c6-37b7-11ee-a119-df751c129a0c	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a7c650-37b7-11ee-a06c-c38b0a72a9d0	dg.4DFC/94a7c650-37b7-11ee-a06c-c38b0a72a9d0	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a7e8d8-37b7-11ee-b3b6-27864379a74b	dg.4DFC/94a7e8d8-37b7-11ee-b3b6-27864379a74b	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a80d36-37b7-11ee-bfe1-e7fa7608cf06	dg.4DFC/94a80d36-37b7-11ee-bfe1-e7fa7608cf06	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a82f96-37b7-11ee-b6af-e7404da249be	dg.4DFC/94a82f96-37b7-11ee-b6af-e7404da249be	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a85174-37b7-11ee-912d-b73e3d1a7868	dg.4DFC/94a85174-37b7-11ee-912d-b73e3d1a7868	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a8737a-37b7-11ee-8e05-dbeb1c292392	dg.4DFC/94a8737a-37b7-11ee-8e05-dbeb1c292392	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a8958a-37b7-11ee-90df-d798a0720eb1	dg.4DFC/94a8958a-37b7-11ee-90df-d798a0720eb1	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a8b7f4-37b7-11ee-938d-2f21d704743c	dg.4DFC/94a8b7f4-37b7-11ee-938d-2f21d704743c	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a8d9fa-37b7-11ee-b107-67a2fa7f5ba9	dg.4DFC/94a8d9fa-37b7-11ee-b107-67a2fa7f5ba9	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a8fc82-37b7-11ee-a3c4-e78177070ddb	dg.4DFC/94a8fc82-37b7-11ee-a3c4-e78177070ddb	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a91f28-37b7-11ee-9a43-2b307998fec1	dg.4DFC/94a91f28-37b7-11ee-9a43-2b307998fec1	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a94598-37b7-11ee-a615-c362bca7b8e1	dg.4DFC/94a94598-37b7-11ee-a615-c362bca7b8e1	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a96b2c-37b7-11ee-bb6a-2f2eef8d6561	dg.4DFC/94a96b2c-37b7-11ee-bb6a-2f2eef8d6561	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a98dd2-37b7-11ee-b779-0bc9e7599a8a	dg.4DFC/94a98dd2-37b7-11ee-b779-0bc9e7599a8a	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a9b096-37b7-11ee-9d6b-cf6c8d676c86	dg.4DFC/94a9b096-37b7-11ee-9d6b-cf6c8d676c86	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a9d2ba-37b7-11ee-baa2-e7fec961cc0f	dg.4DFC/94a9d2ba-37b7-11ee-baa2-e7fec961cc0f	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94a9f650-37b7-11ee-a5a4-3b28dc5e490a	dg.4DFC/94a9f650-37b7-11ee-a5a4-3b28dc5e490a	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94aa189c-37b7-11ee-9fe9-73f162a82331	dg.4DFC/94aa189c-37b7-11ee-9fe9-73f162a82331	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94aa3b24-37b7-11ee-a078-675db572426d	dg.4DFC/94aa3b24-37b7-11ee-a078-675db572426d	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94aa5d7a-37b7-11ee-a3b1-7b1252821d37	dg.4DFC/94aa5d7a-37b7-11ee-a3b1-7b1252821d37	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94aa8458-37b7-11ee-bf47-43759bf9a52a	dg.4DFC/94aa8458-37b7-11ee-bf47-43759bf9a52a	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94aaa67c-37b7-11ee-b022-bfe126b4d5e4	dg.4DFC/94aaa67c-37b7-11ee-b022-bfe126b4d5e4	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94aaccba-37b7-11ee-8823-133470807093	dg.4DFC/94aaccba-37b7-11ee-8823-133470807093	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94aaef7e-37b7-11ee-8657-f71d08029837	dg.4DFC/94aaef7e-37b7-11ee-8657-f71d08029837	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ab12b0-37b7-11ee-93f1-abaafa41d2f5	dg.4DFC/94ab12b0-37b7-11ee-93f1-abaafa41d2f5	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ab35b0-37b7-11ee-8faf-53ef6f930a98	dg.4DFC/94ab35b0-37b7-11ee-8faf-53ef6f930a98	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ab57a2-37b7-11ee-be35-fffcdf6ad3ad	dg.4DFC/94ab57a2-37b7-11ee-be35-fffcdf6ad3ad	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ab7cfa-37b7-11ee-9421-6b59587673da	dg.4DFC/94ab7cfa-37b7-11ee-9421-6b59587673da	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ab9f96-37b7-11ee-9fa2-ab00858d1b40	dg.4DFC/94ab9f96-37b7-11ee-9fa2-ab00858d1b40	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94abc35e-37b7-11ee-ab2e-9f36a2c708bd	dg.4DFC/94abc35e-37b7-11ee-ab2e-9f36a2c708bd	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94abe64a-37b7-11ee-91b8-837d2a6edc57	dg.4DFC/94abe64a-37b7-11ee-91b8-837d2a6edc57	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ac0828-37b7-11ee-b712-7f9334e8f77d	dg.4DFC/94ac0828-37b7-11ee-b712-7f9334e8f77d	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ac2e70-37b7-11ee-893c-ab53e13fa5fa	dg.4DFC/94ac2e70-37b7-11ee-893c-ab53e13fa5fa	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ac517a-37b7-11ee-a132-77f943bc68eb	dg.4DFC/94ac517a-37b7-11ee-a132-77f943bc68eb	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ac7394-37b7-11ee-9f9f-37e15c8eb410	dg.4DFC/94ac7394-37b7-11ee-9f9f-37e15c8eb410	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ac96b2-37b7-11ee-a8ff-7fa46ad8bc7c	dg.4DFC/94ac96b2-37b7-11ee-a8ff-7fa46ad8bc7c	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94acba02-37b7-11ee-ae5d-d32f761ab02b	dg.4DFC/94acba02-37b7-11ee-ae5d-d32f761ab02b	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94acdc62-37b7-11ee-ad42-2b2243afe6ed	dg.4DFC/94acdc62-37b7-11ee-ad42-2b2243afe6ed	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94acff1c-37b7-11ee-a2b7-cb4d7aa279d5	dg.4DFC/94acff1c-37b7-11ee-a2b7-cb4d7aa279d5	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ad214a-37b7-11ee-a871-bb949bda5c90	dg.4DFC/94ad214a-37b7-11ee-a871-bb949bda5c90	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ad4328-37b7-11ee-821c-374b08077008	dg.4DFC/94ad4328-37b7-11ee-821c-374b08077008	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ad657e-37b7-11ee-ba83-2be29a596be8	dg.4DFC/94ad657e-37b7-11ee-ba83-2be29a596be8	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ad8f54-37b7-11ee-a236-530dc5671adf	dg.4DFC/94ad8f54-37b7-11ee-a236-530dc5671adf	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94adb5b0-37b7-11ee-8076-bbee865bece4	dg.4DFC/94adb5b0-37b7-11ee-8076-bbee865bece4	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94add7a2-37b7-11ee-949e-fb496ae5a4df	dg.4DFC/94add7a2-37b7-11ee-949e-fb496ae5a4df	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94adf9d0-37b7-11ee-8801-fb8f84e92616	dg.4DFC/94adf9d0-37b7-11ee-8801-fb8f84e92616	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ae1c4e-37b7-11ee-a41e-b7deb5965f6c	dg.4DFC/94ae1c4e-37b7-11ee-a41e-b7deb5965f6c	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ae3f44-37b7-11ee-b513-471da51749f8	dg.4DFC/94ae3f44-37b7-11ee-b513-471da51749f8	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ae610e-37b7-11ee-af2d-6fa914e9e7a9	dg.4DFC/94ae610e-37b7-11ee-af2d-6fa914e9e7a9	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94ae8328-37b7-11ee-8200-e3265776f9c6	dg.4DFC/94ae8328-37b7-11ee-8200-e3265776f9c6	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94aea646-37b7-11ee-9e1d-938e5204a30a	dg.4DFC/94aea646-37b7-11ee-9e1d-938e5204a30a	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94aec900-37b7-11ee-b481-6385d23b6664	dg.4DFC/94aec900-37b7-11ee-b481-6385d23b6664	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94aeeae8-37b7-11ee-b9de-e312b5637ed9	dg.4DFC/94aeeae8-37b7-11ee-b9de-e312b5637ed9	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94af0c94-37b7-11ee-9852-2b476b353b4d	dg.4DFC/94af0c94-37b7-11ee-9852-2b476b353b4d	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94af3282-37b7-11ee-87df-3f5e364a41e1	dg.4DFC/94af3282-37b7-11ee-87df-3f5e364a41e1	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94af546a-37b7-11ee-ae21-ebf174495c2d	dg.4DFC/94af546a-37b7-11ee-ae21-ebf174495c2d	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94af7724-37b7-11ee-94a7-a3be1feebf5a	dg.4DFC/94af7724-37b7-11ee-94a7-a3be1feebf5a	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94af9d6c-37b7-11ee-831a-2f8f25ccbb53	dg.4DFC/94af9d6c-37b7-11ee-831a-2f8f25ccbb53	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94afbf86-37b7-11ee-bbc2-ffec533d430a	dg.4DFC/94afbf86-37b7-11ee-bbc2-ffec533d430a	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94afe204-37b7-11ee-b8b5-0b6fe69798a3	dg.4DFC/94afe204-37b7-11ee-b8b5-0b6fe69798a3	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b005a4-37b7-11ee-8d3f-839a6b5562f0	dg.4DFC/94b005a4-37b7-11ee-8d3f-839a6b5562f0	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b02796-37b7-11ee-8b0d-bfa38bf6ab26	dg.4DFC/94b02796-37b7-11ee-8b0d-bfa38bf6ab26	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b04a00-37b7-11ee-989d-bf1e133ff242	dg.4DFC/94b04a00-37b7-11ee-989d-bf1e133ff242	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b06c4c-37b7-11ee-a9e9-97daa79db045	dg.4DFC/94b06c4c-37b7-11ee-a9e9-97daa79db045	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b0953c-37b7-11ee-9f5a-6382f3cef327	dg.4DFC/94b0953c-37b7-11ee-9f5a-6382f3cef327	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b0b72e-37b7-11ee-9fc5-f30f75f585f9	dg.4DFC/94b0b72e-37b7-11ee-9fc5-f30f75f585f9	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b0d98e-37b7-11ee-b002-1fe675895daa	dg.4DFC/94b0d98e-37b7-11ee-b002-1fe675895daa	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b0fc8e-37b7-11ee-b31b-3fcab37dbe31	dg.4DFC/94b0fc8e-37b7-11ee-b31b-3fcab37dbe31	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b11f16-37b7-11ee-aec1-db20748b7047	dg.4DFC/94b11f16-37b7-11ee-aec1-db20748b7047	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b141ee-37b7-11ee-851e-23083bcb8a4e	dg.4DFC/94b141ee-37b7-11ee-851e-23083bcb8a4e	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b164c6-37b7-11ee-be53-f3711cfa2462	dg.4DFC/94b164c6-37b7-11ee-be53-f3711cfa2462	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b1871c-37b7-11ee-891a-87553d5ced59	dg.4DFC/94b1871c-37b7-11ee-891a-87553d5ced59	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b1a972-37b7-11ee-ac48-1b795f7809e5	dg.4DFC/94b1a972-37b7-11ee-ac48-1b795f7809e5	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b1d23a-37b7-11ee-9f39-63c71139d5da	dg.4DFC/94b1d23a-37b7-11ee-9f39-63c71139d5da	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b1f454-37b7-11ee-8f94-3b73839b8f6d	dg.4DFC/94b1f454-37b7-11ee-8f94-3b73839b8f6d	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b21984-37b7-11ee-9c24-1f93c2410c64	dg.4DFC/94b21984-37b7-11ee-9c24-1f93c2410c64	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b23c34-37b7-11ee-91e8-83280b0c6573	dg.4DFC/94b23c34-37b7-11ee-91e8-83280b0c6573	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b25e1c-37b7-11ee-a138-5fa81424e60b	dg.4DFC/94b25e1c-37b7-11ee-a138-5fa81424e60b	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b28130-37b7-11ee-a7cb-87ddce002e64	dg.4DFC/94b28130-37b7-11ee-a7cb-87ddce002e64	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b2a408-37b7-11ee-b5b8-1fb0c9560cb4	dg.4DFC/94b2a408-37b7-11ee-b5b8-1fb0c9560cb4	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b2c6b8-37b7-11ee-8817-0fdc58510e67	dg.4DFC/94b2c6b8-37b7-11ee-8817-0fdc58510e67	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b2e9d6-37b7-11ee-919b-e76dfe8b515f	dg.4DFC/94b2e9d6-37b7-11ee-919b-e76dfe8b515f	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b3103c-37b7-11ee-945d-9f97445819f7	dg.4DFC/94b3103c-37b7-11ee-945d-9f97445819f7	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b332f6-37b7-11ee-8714-27b1653f1a23	dg.4DFC/94b332f6-37b7-11ee-8714-27b1653f1a23	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b354b6-37b7-11ee-98e1-f3278f468064	dg.4DFC/94b354b6-37b7-11ee-98e1-f3278f468064	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b37770-37b7-11ee-8772-372150b456c3	dg.4DFC/94b37770-37b7-11ee-8772-372150b456c3	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b39e08-37b7-11ee-863f-3bdd218c0ffd	dg.4DFC/94b39e08-37b7-11ee-863f-3bdd218c0ffd	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b3c02c-37b7-11ee-9ef3-bb8390c07d56	dg.4DFC/94b3c02c-37b7-11ee-9ef3-bb8390c07d56	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b3e5d4-37b7-11ee-b1e0-cb9e0a6735b7	dg.4DFC/94b3e5d4-37b7-11ee-b1e0-cb9e0a6735b7	Not specified in data	Not specified in data
GRCh38	WXS	Paired-end	Genomic	ILLUMINA	genomic_info	dg.4DFC/94b407da-37b7-11ee-9847-7bd4234a162a	dg.4DFC/94b407da-37b7-11ee-9847-7bd4234a162a	Not specified in data	Not specified in data
